iter	Logloss
0	0.6424493583
1	0.5986571568
2	0.5606386021
3	0.5262441406
4	0.4959399763
5	0.4714019252
6	0.4479816895
7	0.4256401716
8	0.408680385
9	0.3924974191
10	0.3796288714
11	0.3674749581
12	0.3554581473
13	0.3456409738
14	0.3371444615
15	0.3292612305
16	0.3220745675
17	0.3158014788
18	0.3093391462
19	0.3043295201
20	0.3001396136
21	0.2953498884
22	0.291305106
23	0.2885148577
24	0.2854898333
25	0.2814302107
26	0.2774735631
27	0.2742637068
28	0.2723155692
29	0.2685648542
30	0.2660047956
31	0.2633153076
32	0.2609532296
33	0.2581154088
34	0.2562160296
35	0.2541766532
36	0.2522504534
37	0.2494696568
38	0.2472452218
39	0.2455284075
40	0.2433441162
41	0.241455392
42	0.2392449951
43	0.2366037249
44	0.2350476074
45	0.2333584508
46	0.2318571429
47	0.2305628488
48	0.2288270787
49	0.2279386858
50	0.226663923
51	0.2252100656
52	0.2234639195
53	0.2213842425
54	0.2202951311
55	0.2181903425
56	0.2166470075
57	0.2153868408
58	0.2141166643
59	0.2128569859
60	0.2114350412
61	0.2101425084
62	0.2086575405
63	0.2072511509
64	0.2060979527
65	0.2051676374
66	0.2036029576
67	0.2023123779
68	0.2009909319
69	0.1995288609
70	0.1985963658
71	0.1975057722
72	0.1960838449
73	0.1950722307
74	0.1942689383
75	0.193184361
76	0.1921180943
77	0.1913482666
78	0.1902216971
79	0.1883928571
80	0.1876584473
81	0.1866115199
82	0.1856835937
83	0.1845190953
84	0.1830577567
85	0.1816363874
86	0.1805186244
87	0.1794995466
88	0.178774292
89	0.1774851074
90	0.1766585519
91	0.1757982352
92	0.1750243966
93	0.1742228655
94	0.1731802804
95	0.1720782645
96	0.1708131278
97	0.1697616141
98	0.1692951835
99	0.1683755929
100	0.167560948
101	0.1667037179
102	0.1660428816
103	0.1654448242
104	0.1647962821
105	0.1640176828
106	0.163340611
107	0.1621663818
108	0.1613852888
109	0.1607999093
110	0.1599325474
111	0.1591304757
112	0.158510097
113	0.1577637591
114	0.1570219727
115	0.1565674177
116	0.1557658517
117	0.1544179687
118	0.1539008789
119	0.1531572963
120	0.1524550781
121	0.1517273647
122	0.150558524
123	0.1494381975
124	0.1490116141
125	0.1483398089
126	0.1475006627
127	0.1466012312
128	0.1460915004
129	0.14555113
130	0.1449121443
131	0.144259225
132	0.1436595197
133	0.1431349836
134	0.142544608
135	0.1420823713
136	0.1413465489
137	0.1406912929
138	0.1399167132
139	0.1394948207
140	0.1388447614
141	0.1382540283
142	0.1379453038
143	0.1371179025
144	0.1360604946
145	0.1353314558
146	0.1346319318
147	0.1339412057
148	0.133176906
149	0.1327195173
150	0.1324257464
151	0.1319382237
152	0.1314304897
153	0.1306367449
154	0.1302393973
155	0.1296638532
156	0.1292490932
157	0.1284223633
158	0.1278101283
159	0.1271207886
160	0.1264578857
161	0.1261818324
162	0.1254140974
163	0.1248573434
164	0.1240180751
165	0.1235627441
166	0.1228338972
167	0.1223711112
168	0.1219815587
169	0.1214670585
170	0.1210332729
171	0.120515189
172	0.1199415806
173	0.1195945347
174	0.119090114
175	0.1187287423
176	0.1180790144
177	0.1176916678
178	0.1173422764
179	0.1168520246
180	0.1163952898
181	0.1155965227
182	0.1150779506
183	0.1145169067
184	0.1139030064
185	0.113612296
186	0.1131868373
187	0.1126499372
188	0.1124159633
189	0.112014631
190	0.1114905831
191	0.111124564
192	0.1108298427
193	0.1101958705
194	0.1098359724
195	0.1092224644
196	0.1086062012
197	0.1081543143
198	0.1074024571
199	0.1068453108
200	0.1063993966
201	0.1060285121
202	0.1057927072
203	0.105257237
204	0.1047305385
205	0.104121739
206	0.1038859253
207	0.1034435861
208	0.1030514526
209	0.102662371
210	0.1020823103
211	0.1016964634
212	0.1013647112
213	0.1010428816
214	0.1004751238
215	0.1001953735
216	0.09950975691
217	0.09875503976
218	0.09809530204
219	0.09770248849
220	0.0973943743
221	0.09702145822
222	0.09657284982
223	0.09600186593
224	0.09569208636
225	0.09512403216
226	0.09484091622
227	0.09435824149
228	0.09411249651
229	0.09372186279
230	0.09349149867
231	0.09308557129
232	0.09271955218
233	0.09225407192
234	0.09185222517
235	0.0915564488
236	0.09101939174
237	0.09054572405
238	0.09000213623
239	0.08971592494
240	0.08930084229
241	0.08915702602
242	0.08879540144
243	0.08852519008
244	0.08807280622
245	0.0878175572
246	0.08752622768
247	0.08717677525
248	0.08674856131
249	0.08626503209
250	0.08601498849
251	0.08555141776
252	0.08524730573
253	0.0849388079
254	0.08451416016
255	0.08428735352
256	0.08401503209
257	0.08362238421
258	0.08337374442
259	0.08310534668
260	0.08271098982
261	0.08248641532
262	0.08227020264
263	0.08198522949
264	0.08156141881
265	0.08132657296
266	0.0811478969
267	0.08096815709
268	0.08073153251
269	0.08044297573
270	0.07996324812
271	0.07952502441
272	0.07923472377
273	0.07886200823
274	0.07847841099
275	0.07797626604
276	0.07766030448
277	0.07717768206
278	0.07702982003
279	0.07665677316
280	0.07646609933
281	0.07601801409
282	0.07575350516
283	0.07552075195
284	0.07518201556
285	0.07483984375
286	0.07455380685
287	0.07433755929
288	0.07407254464
289	0.07365182059
290	0.07343268694
291	0.07323458426
292	0.07288968331
293	0.072706604
294	0.07243382481
295	0.07212061419
296	0.07188507952
297	0.07159595163
298	0.07120790318
299	0.07089896066
300	0.07056963239
301	0.07031269182
302	0.07009537615
303	0.06996637399
304	0.06954476929
305	0.06939022391
306	0.06906111363
307	0.06857665144
308	0.06817780413
309	0.06796343122
310	0.06774584089
311	0.06741706194
312	0.06717144775
313	0.06698367746
314	0.06670183454
315	0.06653672573
316	0.06626737758
317	0.06606722586
318	0.06582052176
319	0.0655592477
320	0.06529222325
321	0.06502525548
322	0.06479923793
323	0.06458457293
324	0.06442050171
325	0.06422676304
326	0.06402688163
327	0.06385442243
328	0.06351677595
329	0.06331646729
330	0.06299095808
331	0.06278084891
332	0.06240102713
333	0.06212216622
334	0.06187972151
335	0.06164611816
336	0.06139080811
337	0.06114705113
338	0.06082300677
339	0.06062061419
340	0.06031998989
341	0.05990248762
342	0.05967150007
343	0.05948688616
344	0.05924786813
345	0.05912785993
346	0.058906747
347	0.05871490043
348	0.05822397287
349	0.0579612078
350	0.05771613421
351	0.05736745344
352	0.05704192243
353	0.05681906564
354	0.05649360003
355	0.05632473755
356	0.05606360735
357	0.05584139579
358	0.05566222273
359	0.05536776297
360	0.05514067732
361	0.05495528303
362	0.05478431048
363	0.05457628087
364	0.05442810059
365	0.05424242292
366	0.0538435451
367	0.05368535505
368	0.05350815255
369	0.05330631801
370	0.05297006662
371	0.05277023751
372	0.05261966378
373	0.05236553083
374	0.05220337786
375	0.05201342773
376	0.05189425223
377	0.05175393241
378	0.05165810285
379	0.05148824201
380	0.05122894287
381	0.05091883196
382	0.0504984436
383	0.05022215053
384	0.04997898211
385	0.04984013585
386	0.0495343192
387	0.04925928606
388	0.04906256104
389	0.04897206334
390	0.04885093907
391	0.04873800223
392	0.04863388497
393	0.04845544434
394	0.04815473284
395	0.04797392055
396	0.04784940011
397	0.0476665693
398	0.04757121931
399	0.047492933
400	0.04728953334
401	0.0471007734
402	0.04690236119
403	0.04672060285
404	0.04658295114
405	0.04627877808
406	0.04605606515
407	0.04587462071
408	0.04575157819
409	0.04556728254
410	0.04536771066
411	0.04509566825
412	0.04486886161
413	0.04469172886
414	0.04442242868
415	0.04424089268
416	0.04400694493
417	0.04392496164
418	0.04380761719
419	0.04357546125
420	0.0433757673
421	0.04312008231
422	0.04288953509
423	0.04275376238
424	0.04257703073
425	0.04246301705
426	0.04232554408
427	0.04216743687
428	0.04205392456
429	0.04187165615
430	0.04171131243
431	0.04146085903
432	0.04127147566
433	0.04113351876
434	0.04095552717
435	0.04078159441
436	0.04056289237
437	0.04038523647
438	0.04025544085
439	0.04013173131
440	0.04001402937
441	0.03989081682
442	0.03966363961
443	0.03949612427
444	0.03930755615
445	0.03920534842
446	0.03907870483
447	0.03902883039
448	0.03885253034
449	0.03872566005
450	0.03859805298
451	0.03842451259
452	0.03822555978
453	0.03812598528
454	0.038032244
455	0.03783178711
456	0.0376827131
457	0.03759239415
458	0.03744046456
459	0.0372623727
460	0.03711776297
461	0.03704528809
462	0.03695778111
463	0.03676117815
464	0.03663773019
465	0.03652594648
466	0.03637825012
467	0.03629454694
468	0.03609350368
469	0.03594943455
470	0.03577587455
471	0.03566399493
472	0.03552701242
473	0.03541273063
474	0.03528541347
475	0.03510355486
476	0.03496439689
477	0.03471647862
478	0.03463415091
479	0.03448977879
480	0.03438853673
481	0.03421992275
482	0.03402523586
483	0.03385948399
484	0.03378660148
485	0.03366725377
486	0.03353986032
487	0.03338684082
488	0.03329261562
489	0.03316214425
490	0.03303143311
491	0.03290954808
492	0.03285107422
493	0.03277233887
494	0.03265596226
495	0.03247512381
496	0.03237219674
497	0.03228715297
498	0.03214332581
499	0.03203653826
