iter	Passed	Remaining
0	4	484
1	8	435
2	9	315
3	10	255
4	11	210
5	11	187
6	12	171
7	13	159
8	14	149
9	15	140
10	16	133
11	17	127
12	18	123
13	19	118
14	20	114
15	22	118
16	24	118
17	25	115
18	26	111
19	27	108
20	28	105
21	29	102
22	32	108
23	33	105
24	36	109
25	39	113
26	43	116
27	46	119
28	49	120
29	51	120
30	54	121
31	57	122
32	60	123
33	64	124
34	70	131
35	72	128
36	75	127
37	77	126
38	79	124
39	81	122
40	84	122
41	86	119
42	88	117
43	91	116
44	93	114
45	95	112
46	99	112
47	101	110
48	104	108
49	106	106
50	108	104
51	111	102
52	112	100
53	114	97
54	116	95
55	118	92
56	120	90
57	122	88
58	123	85
59	125	83
60	126	81
61	128	78
62	130	76
63	132	74
64	134	72
65	136	70
66	137	67
67	139	65
68	141	63
69	143	61
70	144	59
71	146	57
72	149	55
73	150	53
74	152	50
75	154	48
76	155	46
77	157	44
78	159	42
79	161	40
80	162	38
81	164	36
82	166	34
83	168	32
84	169	29
85	172	28
86	174	26
87	176	24
88	178	22
89	179	19
90	181	17
91	183	15
92	185	13
93	186	11
94	188	9
95	190	7
96	192	5
97	194	3
98	200	2
99	202	0
